,city,humidity,lat
0,butaritari,100,3.07
1,tello,51,3.07
2,hermanus,89,-34.42
3,oranjemund,97,-28.55
4,rikitea,100,-23.12
5,kapaa,97,22.08
6,itamaraju,91,-17.04
7,barcelos,43,41.53
8,pryazha,80,61.69
9,goderich,96,43.74
10,kaitangata,67,-46.28
11,ponta do sol,42,-20.63
12,upernavik,100,72.79
13,bredasdorp,71,-34.53
14,katsuura,73,33.93
15,isangel,78,-19.55
16,agadez,24,16.97
17,kahului,65,20.89
18,guerrero negro,79,27.97
19,cape town,82,-33.93
20,beloha,83,-25.17
21,kuleshovka,93,47.08
22,saint george,48,39.45
23,billings,6,45.79
24,san patricio,95,-26.98
25,maceio,94,-9.67
26,sinnamary,99,5.38
27,kodiak,93,39.95
28,mansa,78,23.43
29,tabuk,68,17.41
30,xining,85,36.62
31,vaini,85,15.34
32,gat,96,14.69
33,sovetskaya,100,44.78
34,busselton,100,-33.64
35,punta arenas,69,-53.16
36,hay river,81,60.82
37,hilo,74,19.71
38,avarua,74,-21.21
39,paamiut,100,61.99
40,chuy,87,-33.69
41,naze,98,5.43
42,bowen,54,-20.01
43,new norfolk,54,-42.78
44,sola,82,58.89
45,lorengau,100,-2.02
46,kalaleh,74,37.38
47,torbay,86,47.66
48,albany,89,42.65
49,hofn,98,64.25
50,sitka,53,37.17
51,port alfred,100,-33.59
52,iqaluit,74,63.75
53,jamestown,42,-33.21
54,east london,100,-33.02
55,sawakin,54,19.1
56,mataura,71,-46.19
57,tiksi,96,71.64
58,irece,53,-11.3
59,sechura,82,-5.56
60,severo-kurilsk,96,50.68
61,san quintin,88,17.54
62,paralimni,76,40.99
63,cherskiy,70,68.75
64,boulder city,14,35.98
65,bismarck,76,46.81
66,ushuaia,80,-54.81
67,chokurdakh,98,70.62
68,fortuna,83,38.18
69,christchurch,57,-43.53
70,bawal,83,28.07
71,tuktoyaktuk,79,69.44
72,pochutla,61,15.74
73,carnarvon,90,-30.97
74,quatre cocos,78,-20.21
75,liebling,93,45.58
76,kannur,82,11.88
77,puerto maldonado,73,-12.59
78,atuona,100,-9.8
79,namibe,100,-15.19
80,batagay,96,67.65
