,city,temp,lat
0,butaritari,84.02,3.07
1,tello,82.4,3.07
2,hermanus,53.33,-34.42
3,oranjemund,55.67,-28.55
4,rikitea,72.32,-23.12
5,kapaa,81.54,22.08
6,itamaraju,71.42,-17.04
7,barcelos,67.51,41.53
8,pryazha,35.6,61.69
9,goderich,68.18,43.74
10,kaitangata,45.86,-46.28
11,ponta do sol,74.66,-20.63
12,upernavik,32.18,72.79
13,bredasdorp,57.2,-34.53
14,katsuura,69.8,33.93
15,isangel,77.0,-19.55
16,agadez,75.65,16.97
17,kahului,85.89,20.89
18,guerrero negro,68.45,27.97
19,cape town,55.4,-33.93
20,beloha,58.91,-25.17
21,kuleshovka,45.59,47.08
22,saint george,64.4,39.45
23,billings,57.02,45.79
24,san patricio,68.81,-26.98
25,maceio,71.6,-9.67
26,sinnamary,81.68,5.38
27,kodiak,55.94,39.95
28,mansa,77.0,23.43
29,tabuk,82.22,17.41
30,xining,53.15,36.62
31,vaini,75.38,15.34
32,gat,75.83,14.69
33,sovetskaya,49.37,44.78
34,busselton,59.18,-33.64
35,punta arenas,35.6,-53.16
36,hay river,46.4,60.82
37,hilo,86.0,19.71
38,avarua,78.8,-21.21
39,paamiut,38.3,61.99
40,chuy,60.89,-33.69
41,naze,72.05,5.43
42,bowen,78.8,-20.01
43,new norfolk,53.6,-42.78
44,sola,54.37,58.89
45,lorengau,83.57,-2.02
46,kalaleh,60.08,37.38
47,torbay,33.8,47.66
48,albany,58.5,42.65
49,hofn,44.78,64.25
50,sitka,62.42,37.17
51,port alfred,60.8,-33.59
52,iqaluit,33.8,63.75
53,jamestown,61.06,-33.21
54,east london,68.08,-33.02
55,sawakin,84.2,19.1
56,mataura,45.41,-46.19
57,tiksi,33.26,71.64
58,irece,70.97,-11.3
59,sechura,68.45,-5.56
60,severo-kurilsk,50.0,50.68
61,san quintin,78.8,17.54
62,paralimni,51.62,40.99
63,cherskiy,37.58,68.75
64,boulder city,92.79,35.98
65,bismarck,50.0,46.81
66,ushuaia,36.66,-54.81
67,chokurdakh,36.14,70.62
68,fortuna,74.32,38.18
69,christchurch,51.8,-43.53
70,bawal,79.16,28.07
71,tuktoyaktuk,28.4,69.44
72,pochutla,78.8,15.74
73,carnarvon,34.88,-30.97
74,quatre cocos,71.6,-20.21
75,liebling,35.56,45.58
76,kannur,78.53,11.88
77,puerto maldonado,79.52,-12.59
78,atuona,79.25,-9.8
79,namibe,63.77,-15.19
80,batagay,35.78,67.65
81,tromso,42.8,69.65
82,yate,46.18,51.54
83,thompson,39.2,55.74
84,astana,37.4,51.13
85,rawson,45.68,-43.3
86,grindavik,43.93,63.84
87,mahebourg,71.6,-20.41
88,faya,63.48,18.39
89,suoyarvi,40.73,62.08
90,caravelas,76.28,-17.73
91,mackay,57.2,53.65
92,raudeberg,53.6,61.99
93,galeana,59.45,24.83
94,sisimiut,22.19,66.94
95,avera,78.01,33.19
96,pisco,62.6,-13.71
97,chapais,51.8,49.78
98,hithadhoo,81.05,-0.6
99,batemans bay,50.45,-35.71
100,carauari,76.01,-4.88
101,port macquarie,64.4,-31.43
102,pontivy,50.0,48.06
103,carballo,58.14,43.21
104,georgetown,77.0,6.8
105,talnakh,35.06,69.49
106,ribeira grande,72.32,38.52
107,chimbote,61.07,-9.08
108,yingkou,68.81,40.67
109,ponta delgada,71.6,37.73
110,mar del plata,38.65,-46.43
111,auki,70.88,12.18
112,larsnes,50.0,62.2
113,itapage,74.12,-3.69
114,marzuq,50.18,14.4
115,dwarka,71.6,28.58
116,clyde river,28.4,70.47
117,puerto ayora,75.2,-0.74
118,hasaki,65.66,35.73
119,airai,85.82,-8.93
120,bambanglipuro,81.32,-7.95
121,warrington,54.5,53.39
122,luderitz,51.08,-26.65
123,poum,32.54,41.28
124,port augusta,73.4,-32.49
125,danville,68.81,36.59
126,pevek,38.93,69.7
127,provideniya,44.6,64.42
128,spokane,67.01,47.66
129,hobart,53.6,-42.88
130,padang,78.8,-0.92
131,wichita falls,80.13,33.91
132,ingham,74.48,-18.65
133,saveh,49.82,35.02
134,lavrentiya,44.33,65.58
135,castro,40.37,-42.48
136,te anau,40.73,-45.41
137,tiznit,71.06,29.7
138,nikolskoye,44.6,59.7
139,male,41.63,50.74
140,northam,39.2,51.04
141,ilo,51.98,-17.65
142,saskylakh,33.08,71.97
143,labuhan,88.61,-2.54
144,lebu,55.4,8.96
145,marsh harbour,84.92,26.54
146,bathsheba,82.4,13.22
147,barrow,56.03,-38.31
148,san cristobal,57.2,-0.39
149,kavaratti,82.58,10.57
150,touros,77.0,-5.2
151,saldanha,49.73,41.42
152,vardo,67.71,39.62
153,lompoc,65.1,34.64
154,gryazovets,38.21,58.88
155,esperance,77.0,10.24
156,sao joao da barra,75.02,-21.64
157,port elizabeth,73.81,39.31
158,rio gallegos,37.4,-51.62
159,paracuru,78.8,-3.41
160,riyadh,80.6,24.63
161,little current,64.4,45.98
162,puerto escondido,78.8,15.86
163,ballina,59.27,54.11
164,gallipoli,64.4,40.06
165,corn island,81.23,12.17
166,ayna,64.4,38.55
167,tuatapere,45.5,-46.13
168,sooko,85.37,-7.91
169,ixtapa,86.0,20.71
170,flinders,51.8,-34.58
171,wrzesnia,37.4,52.33
172,kindia,71.78,10.05
173,vila velha,78.8,-3.71
174,santa isabel do rio negro,76.73,-0.41
175,zonguldak,54.77,41.25
176,honiara,82.4,-9.43
177,alvand,57.2,36.19
178,bakchar,55.4,57.02
179,merauke,87.53,-8.49
180,qaanaaq,17.42,77.48
181,port-gentil,76.28,-0.72
182,lagoa,75.2,37.14
183,antofagasta,59.0,-23.65
184,tasiilaq,32.0,65.61
185,araouane,78.62,18.9
186,mlalo,61.25,-4.58
187,mount gambier,60.08,-37.83
188,brae,54.63,60.4
189,khani,66.2,41.96
190,fernandez,82.58,11.38
191,jining,73.67,35.41
192,krasnozerskoye,54.68,53.98
193,saint-ambroise,46.4,47.25
194,vostok,53.78,46.45
195,karlovo,51.8,42.64
196,kirakira,78.26,-10.46
197,zhigansk,44.42,66.77
198,zyryanka,40.64,65.73
199,taoudenni,75.83,22.68
200,saint-philippe,58.51,45.36
201,westport,59.45,53.8
202,victoria,85.21,5.28
203,manitouwadge,46.04,49.12
204,narsaq,33.8,60.91
205,sao felix do xingu,76.55,-6.64
206,ostrovnoy,24.34,68.05
207,rabo de peixe,71.6,37.8
