,city,wind speed,lat
0,butaritari,8.81,3.07
1,tello,3.36,3.07
2,hermanus,9.82,-34.42
3,oranjemund,1.99,-28.55
4,rikitea,23.13,-23.12
5,kapaa,18.34,22.08
6,itamaraju,5.46,-17.04
7,barcelos,9.17,41.53
8,pryazha,8.95,61.69
9,goderich,19.1,43.74
10,kaitangata,25.37,-46.28
11,ponta do sol,7.58,-20.63
12,upernavik,16.53,72.79
13,bredasdorp,6.93,-34.53
14,katsuura,11.41,33.93
15,isangel,8.05,-19.55
16,agadez,6.02,16.97
17,kahului,12.75,20.89
18,guerrero negro,9.37,27.97
19,cape town,14.99,-33.93
20,beloha,2.55,-25.17
21,kuleshovka,3.44,47.08
22,saint george,10.29,39.45
23,billings,3.36,45.79
24,san patricio,4.0,-26.98
25,maceio,5.82,-9.67
26,sinnamary,7.7,5.38
27,kodiak,4.7,39.95
28,mansa,3.36,23.43
29,tabuk,1.99,17.41
30,xining,3.67,36.62
31,vaini,2.77,15.34
32,gat,2.44,14.69
33,sovetskaya,3.78,44.78
34,busselton,8.48,-33.64
35,punta arenas,4.7,-53.16
36,hay river,6.93,60.82
37,hilo,17.22,19.71
38,avarua,11.41,-21.21
39,paamiut,21.56,61.99
40,chuy,16.08,-33.69
41,naze,3.44,5.43
42,bowen,17.22,-20.01
43,new norfolk,5.82,-42.78
44,sola,20.8,58.89
45,lorengau,2.55,-2.02
46,kalaleh,3.0,37.38
47,torbay,6.93,47.66
48,albany,4.7,42.65
49,hofn,18.88,64.25
50,sitka,12.95,37.17
51,port alfred,9.26,-33.59
52,iqaluit,3.36,63.75
53,jamestown,7.74,-33.21
54,east london,19.71,-33.02
55,sawakin,3.36,19.1
56,mataura,19.77,-46.19
57,tiksi,14.29,71.64
58,irece,10.49,-11.3
59,sechura,10.6,-5.56
60,severo-kurilsk,14.74,50.68
61,san quintin,4.7,17.54
62,paralimni,4.79,40.99
63,cherskiy,3.11,68.75
64,boulder city,8.05,35.98
65,bismarck,10.29,46.81
66,ushuaia,2.44,-54.81
67,chokurdakh,5.01,70.62
68,fortuna,2.24,38.18
69,christchurch,11.41,-43.53
70,bawal,7.58,28.07
71,tuktoyaktuk,14.99,69.44
72,pochutla,9.17,15.74
73,carnarvon,3.67,-30.97
74,quatre cocos,11.41,-20.21
75,liebling,6.93,45.58
76,kannur,3.22,11.88
77,puerto maldonado,2.21,-12.59
78,atuona,7.02,-9.8
79,namibe,5.79,-15.19
80,batagay,8.03,67.65
81,tromso,24.16,69.65
82,yate,4.7,51.54
83,thompson,5.82,55.74
84,astana,2.55,51.13
85,rawson,12.73,-43.3
86,grindavik,29.97,63.84
87,mahebourg,11.41,-20.41
88,faya,3.22,18.39
89,suoyarvi,7.7,62.08
90,caravelas,15.75,-17.73
91,mackay,5.82,53.65
92,raudeberg,31.09,61.99
93,galeana,2.66,24.83
94,sisimiut,2.44,66.94
95,avera,4.23,33.19
96,pisco,11.41,-13.71
97,chapais,12.75,49.78
98,hithadhoo,12.73,-0.6
99,batemans bay,4.0,-35.71
100,carauari,3.0,-4.88
101,port macquarie,12.75,-31.43
102,pontivy,9.17,48.06
103,carballo,3.22,43.21
104,georgetown,4.7,6.8
105,talnakh,7.02,69.49
106,ribeira grande,13.18,38.52
107,chimbote,6.8,-9.08
108,yingkou,4.56,40.67
109,ponta delgada,16.11,37.73
110,mar del plata,7.74,-46.43
111,auki,4.9,12.18
112,larsnes,20.8,62.2
113,itapage,10.04,-3.69
114,marzuq,2.89,14.4
115,dwarka,3.36,28.58
116,clyde river,4.7,70.47
117,puerto ayora,11.41,-0.74
118,hasaki,16.11,35.73
119,airai,1.66,-8.93
120,bambanglipuro,4.68,-7.95
121,warrington,14.99,53.39
122,luderitz,12.5,-26.65
123,poum,1.77,41.28
124,port augusta,14.99,-32.49
125,danville,3.33,36.59
126,pevek,7.14,69.7
127,provideniya,11.18,64.42
128,spokane,5.61,47.66
129,hobart,5.82,-42.88
130,padang,2.77,-0.92
131,wichita falls,13.73,33.91
132,ingham,10.6,-18.65
133,saveh,2.66,35.02
134,lavrentiya,6.8,65.58
135,castro,1.66,-42.48
136,te anau,7.02,-45.41
137,tiznit,2.44,29.7
138,nikolskoye,11.18,59.7
139,male,10.04,50.74
140,northam,3.36,51.04
141,ilo,2.66,-17.65
142,saskylakh,13.29,71.97
143,labuhan,1.99,-2.54
144,lebu,4.7,8.96
145,marsh harbour,13.85,26.54
146,bathsheba,18.34,13.22
147,barrow,3.56,-38.31
148,san cristobal,13.87,-0.39
149,kavaratti,9.6,10.57
150,touros,15.08,-5.2
151,saldanha,4.34,41.42
152,vardo,11.41,39.62
153,lompoc,13.87,34.64
154,gryazovets,13.85,58.88
155,esperance,4.23,10.24
156,sao joao da barra,23.02,-21.64
157,port elizabeth,3.36,39.31
158,rio gallegos,9.17,-51.62
159,paracuru,12.75,-3.41
160,riyadh,2.24,24.63
161,little current,8.05,45.98
162,puerto escondido,9.17,15.86
163,ballina,18.88,54.11
164,gallipoli,25.28,40.06
165,corn island,9.04,12.17
166,ayna,10.29,38.55
167,tuatapere,20.11,-46.13
168,sooko,4.0,-7.91
169,ixtapa,4.7,20.71
170,flinders,14.99,-34.58
171,wrzesnia,2.24,52.33
172,kindia,2.89,10.05
173,vila velha,12.75,-3.71
174,santa isabel do rio negro,2.33,-0.41
175,zonguldak,8.81,41.25
176,honiara,4.7,-9.43
177,alvand,4.7,36.19
178,bakchar,4.56,57.02
179,merauke,15.52,-8.49
180,qaanaaq,11.72,77.48
181,port-gentil,8.48,-0.72
182,lagoa,5.82,37.14
183,antofagasta,11.41,-23.65
184,tasiilaq,5.82,65.61
185,araouane,3.67,18.9
186,mlalo,1.99,-4.58
187,mount gambier,4.79,-37.83
188,brae,14.99,60.4
189,khani,5.82,41.96
190,fernandez,10.83,11.38
191,jining,4.68,35.41
192,krasnozerskoye,4.45,53.98
193,saint-ambroise,6.93,47.25
194,vostok,2.89,46.45
195,karlovo,8.05,42.64
196,kirakira,28.16,-10.46
197,zhigansk,5.01,66.77
198,zyryanka,3.22,65.73
199,taoudenni,4.9,22.68
200,saint-philippe,14.99,45.36
201,westport,20.56,53.8
202,victoria,5.82,5.28
203,manitouwadge,4.45,49.12
